"data","regiosanitariacodi","regiosanitariadescripcio","edatrang","sexecodi","sexedescripcio","resultatcoviddescripcio","numcasos"
"2020-06-21T00:00:00.000","6400","Girona","30-39","1","Dona","Sospitós","14"
"2020-06-21T00:00:00.000","6300","Terres de l'Ebre","80-89","1","Dona","Sospitós","1"
"2020-06-21T00:00:00.000","6400","Girona","80-89","1","Dona","Sospitós","10"
"2020-06-21T00:00:00.000","6400","Girona","50-59","0","Home","Sospitós","10"
"2020-06-21T00:00:00.000","6400","Girona","70-79","1","Dona","Sospitós","2"
"2020-06-21T00:00:00.000","6100","Lleida","50-59","0","Home","Sospitós","5"
"2020-06-21T00:00:00.000","6400","Girona","60-69","1","Dona","Sospitós","6"
"2020-06-21T00:00:00.000","6700","Catalunya Central","50-59","1","Dona","Sospitós","4"
"2020-06-21T00:00:00.000","7802","Metropolità Nord","80-89","0","Home","Sospitós","18"
"2020-06-21T00:00:00.000","7803","Barcelona Ciutat","0-9","0","Home","Sospitós","5"
"2020-06-21T00:00:00.000","6700","Catalunya Central","90+","1","Dona","Sospitós","3"
"2020-06-21T00:00:00.000","7802","Metropolità Nord","90+","1","Dona","Positiu PCR","1"
"2020-06-21T00:00:00.000","6400","Girona","80-89","0","Home","Sospitós","3"
"2020-06-21T00:00:00.000","7802","Metropolità Nord","70-79","1","Dona","Sospitós","16"
"2020-06-21T00:00:00.000","6700","Catalunya Central","90+","0","Home","Sospitós","3"
"2020-06-21T00:00:00.000","7803","Barcelona Ciutat","80-89","1","Dona","Sospitós","11"
"2020-06-21T00:00:00.000","7803","Barcelona Ciutat","30-39","1","Dona","Positiu PCR","1"
"2020-06-21T00:00:00.000","7100","Alt Pirineu i Aran","20-29","1","Dona","Positiu PCR","1"
"2020-06-21T00:00:00.000","7803","Barcelona Ciutat","30-39","0","Home","Sospitós","10"
"2020-06-21T00:00:00.000","7801","Metropolità Sud","60-69","1","Dona","Sospitós","11"
"2020-06-21T00:00:00.000","6400","Girona","0-9","1","Dona","Sospitós","5"
"2020-06-21T00:00:00.000","6700","Catalunya Central","40-49","0","Home","Sospitós","6"
